Generator,Scenario,Category
2_Killen_Station,nonfocus_PJM,Boiler (Coal)
2_Kincaid_Generation_LLC,nonfocus_PJM,Boiler (Coal)
2_Kyger_Creek,nonfocus_PJM,Boiler (Coal)
2_L_Belews_Creek,nonfocus_SERC,Boiler (Coal)
2_L_Chalk_Point_LLC,nonfocus_PJM,Boiler (Coal)
2_L_Conemaugh,nonfocus_PJM,Boiler (Coal)
2_L_Dickerson,nonfocus_PJM,Boiler (Coal)
2_L_G_G_Allen,nonfocus_SERC,Boiler (Coal)
2_L_Keystone,nonfocus_PJM,Boiler (Coal)
2_L_Marshall__NC_,nonfocus_SERC,Boiler (Coal)
2_L_Sioux,nonfocus_MISO,Boiler (Coal)
2_L_South_Oak_Creek,nonfocus_MISO,Boiler (Coal)
2_L_Waukegan,nonfocus_PJM,Boiler (Coal)
2_La_Cygne,nonfocus_SPP,Boiler (Coal)
2_Labadie,nonfocus_MISO,Boiler (Coal)
2_Leland_Olds,nonfocus_SPP,Boiler (Coal)
2_Lingan,nonfocus_NBSO,Boiler (Coal)
2_Marshall__NC_,nonfocus_SERC,Boiler (Coal)
2_Mecklenburg_Power_Station,nonfocus_PJM,Boiler (Coal)
2_Merom,nonfocus_MISO,Boiler (Coal)
2_Merrimack,nonfocus_ISONE,Boiler (Coal)
2_Mill_Creek__KY_,nonfocus_TVA,Boiler (Coal)
2_Mitchell__WV_,nonfocus_PJM,Boiler (Coal)
2_Monroe__MI_,nonfocus_MISO,Boiler (Coal)
2_Nebraska_City,nonfocus_SPP,Boiler (Coal)
2_Paradise,nonfocus_TVA,Boiler (Coal)
2_Pleasant_Prairie,nonfocus_MISO,Boiler (Coal)
2_Poplar_River,nonfocus_MRO,Boiler (Coal)
2_Prairie_State_Generating_Station,nonfocus_MISO,Boiler (Coal)
2_Pt__Tupper,nonfocus_NBSO,Boiler (Coal)
2_R_D_Green,nonfocus_MISO,Boiler (Coal)
2_R_D_Morrow,nonfocus_MISO,Boiler (Coal)
2_R_Gallagher,nonfocus_MISO,Boiler (Coal)
2_Rush_Island,nonfocus_MISO,Boiler (Coal)
2_Scherer,nonfocus_SERC,Boiler (Coal)
2_Sheldon,nonfocus_SPP,Boiler (Coal)
2_Shiras,nonfocus_MISO,Boiler (Coal)
2_Trimble_County,nonfocus_TVA,Boiler (Coal)
2_Victor_J_Daniel_Jr,nonfocus_SERC,Boiler (Coal)
2_Wansley,nonfocus_SERC,Boiler (Coal)
2_Warrick,nonfocus_MISO,Boiler (Coal)
2_Wateree,nonfocus_SERC,Boiler (Coal)
2_Whelan_Energy_Center,nonfocus_SPP,Boiler (Coal)
2H_Brunner_Island,nonfocus_PJM,Boiler (Coal)
2H_General_James_M_Gavin,nonfocus_PJM,Boiler (Coal)
2H_Rockport,nonfocus_PJM,Boiler (Coal)
2L_Brunner_Island,nonfocus_PJM,Boiler (Coal)
2R_General_James_M_Gavin,nonfocus_PJM,Boiler (Coal)
2R_Rockport,nonfocus_PJM,Boiler (Coal)
3_1_Big_Bend,nonfocus_FRCC,Boiler (Coal)
3_1_Big_Cajun_2,nonfocus_MISO,Boiler (Coal)
3_1_Brame_Energy_Center,nonfocus_MISO,Boiler (Coal)
3_1_Coleson_Cove__NBPO_,nonfocus_NBSO,Boiler (Coal)
3_1_Cross,nonfocus_SERC,Boiler (Coal)
3_1_Dunkirk_Generating_Plant,nonfocus_NYISO,Boiler (Coal)
3_1_Gallatin__TN_,nonfocus_TVA,Boiler (Coal)
3_1_H_L_Spurlock,nonfocus_PJM,Boiler (Coal)
3_1_Harrington,nonfocus_SPP,Boiler (Coal)
3_1_Jeffrey_Energy_Center,nonfocus_SPP,Boiler (Coal)
3_1_Kingston,nonfocus_TVA,Boiler (Coal)
3_1_Muskogee,nonfocus_SPP,Boiler (Coal)
3_1_Nanticoke__OPG_,nonfocus_IESO,Boiler (Coal)
3_1_Roxboro,nonfocus_SERC,Boiler (Coal)
3_1_Shawnee,nonfocus_TVA,Boiler (Coal)
3_1_Thomas_Hill,nonfocus_TVA,Boiler (Coal)
3_1_Winyah,nonfocus_SERC,Boiler (Coal)
3_2_Dunkirk_Generating_Plant,nonfocus_NYISO,Boiler (Coal)
3_2_Silver_Bay_Power,nonfocus_MISO,Boiler (Coal)
3_AES_Petersburg,nonfocus_MISO,Boiler (Coal)
3_Baldwin_Energy_Complex,nonfocus_MISO,Boiler (Coal)
3_Blue_Valley,nonfocus_SPP,Boiler (Coal)
3_Boundary_Dam,nonfocus_MRO,Boiler (Coal)
3_Bowen,nonfocus_SERC,Boiler (Coal)
3_Bridgeport_Station,nonfocus_ISONE,Boiler (Coal)
3_Brunner_Island,nonfocus_PJM,Boiler (Coal)
3_Cardinal,nonfocus_PJM,Boiler (Coal)
3_Charles_R_Lowman,nonfocus_SERC,Boiler (Coal)
3_Chesterfield,nonfocus_PJM,Boiler (Coal)
3_Clay_Boswell,nonfocus_MISO,Boiler (Coal)
3_Clifty_Creek,nonfocus_PJM,Boiler (Coal)
3_Dallman,nonfocus_MISO,Boiler (Coal)
3_E_W_Brown,nonfocus_TVA,Boiler (Coal)
3_F_B_Culley,nonfocus_MISO,Boiler (Coal)
3_FirstEnergy_Bruce_Mansfield,nonfocus_PJM,Boiler (Coal)
3_FirstEnergy_Harrison_Power_Station,nonfocus_PJM,Boiler (Coal)
3_G_G_Allen,nonfocus_SERC,Boiler (Coal)
3_Genoa,nonfocus_MISO,Boiler (Coal)
3_George_Neal_North,nonfocus_MISO,Boiler (Coal)
