Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
1_Chilhowee,375013_1CHILHOWE H2_6.9,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Chilhowee,375014_1CHILHOWE H3_6.9,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Chippewa Falls,605348_CHPFALL1G 8_69,Generation Participation Factor,0.497856122,,-,1,,,,=,,,,MN-SE
1_Chippewa Falls,605407_CHPFALL2G 8_69,Generation Participation Factor,0.502143878,,-,1,,,,=,,,,MN-SE
1_Churchill Falls,180059_CHUR-1_15,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Churchill Falls Phase II,180060_CHUR-2_15,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Chute-Caron,180024_CARON1_13.2,Generation Participation Factor,0.5,,-,1,,,,=,,,,Quebec
1_Chute-Caron,180025_CARON2_13.2,Generation Participation Factor,0.5,,-,1,,,,=,,,,Quebec
1_Chute-Des-Chats,180048_CDCHAT_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Chute-des-Passes,180026_PASSES_14.4,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Chute-du-Diable,180028_DIABLE_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Chute-Hemmings,180108_HEM-BT_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Chute-la-Savane,180027_SAV1-2_13.8,Generation Participation Factor,0.454545455,,-,1,,,,=,,,,Quebec
1_Chute-la-Savane,180227_SAV3-5_13.8,Generation Participation Factor,0.545454545,,-,1,,,,=,,,,Quebec
1_Clam River Dam,605565_CLAMDAM9_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Clark Falls,109227_CLARK FALLS_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,VT
1_Clark Mills Lower,137973_CM+UN+HV_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Clarks Mill Upper,137964_BK+HV+FM_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Claytor,242906_05CLAY-1_11,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-C
1_Cobble Mountain,116556_COBBLE MT_G1_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,WCMASS
1_Cohoes Falls Project,137885_HOOSICK_115,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Colebrook Hydroelectric,120398_CAMPVILLE_115,Generation Participation Factor,1,,-,1,,,,=,,,,CT
1_Colton,137150_COLTON G_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,MHK VL
1_Colton,137151_COLTONG2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,MHK VL
1_Colton,137152_COLTONG3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,MHK VL
1_Columbus,640006_COLMBS1G_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NPPD
1_Comerford,106040_COMERFORD G1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NH
1_Conemaugh Hydro Plant,202158_26CON.GEN1_4,Generation Participation Factor,0.5,,-,1,,,,=,,,,PJM-E
1_Conemaugh Hydro Plant,202160_26CON.GEN2_4,Generation Participation Factor,0.5,,-,1,,,,=,,,,PJM-E
1_Conowingo,213508_CON10-11_13.8,Generation Participation Factor,0.209680536,,-,1,,,,=,,,,EMAAC
1_Conowingo,213514_CONOW1-2_13.8,Generation Participation Factor,0.154837048,,-,1,,,,=,,,,EMAAC
1_Conowingo,213515_CONOW3-4_13.8,Generation Participation Factor,0.154837048,,-,1,,,,=,,,,EMAAC
1_Conowingo,213516_CONOW5-6_13.8,Generation Participation Factor,0.116127786,,-,1,,,,=,,,,EMAAC
1_Conowingo,213517_CONOW7_13.8,Generation Participation Factor,0.154837048,,-,1,,,,=,,,,EMAAC
1_Conowingo,213518_CONOW8-9_13.8,Generation Participation Factor,0.209680536,,-,1,,,,=,,,,EMAAC
1_Cooke,256476_COOKE     1H_2.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
1_Cordell Hull,364611_1CORDELL H1_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Cordell Hull,364612_1CORDELL H2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Cordell Hull,364613_1CORDELL H3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Cornell,603154_CORNELL HYD7_115,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Cornell Hydro,131399_CORNEL $_115,Generation Participation Factor,1,,-,1,,,,=,,,,CENTRL
1_Coteau Creek,672370_COTEAU1G_14.4,Generation Participation Factor,1,,-,1,,,,=,,,,SPC
1_Cowans Ford,308227_1COWANS1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Cowie Falls,199248_6W-COWIE_FL_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
1_Crescent,147792_CRSCNT#1_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,CAPITL
1_Crescent,147793_CRSCNT#2_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,CAPITL
1_Croton,256458_CROTON     H_7.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
1_Croton Falls,131118_CROTON $_115,Generation Participation Factor,1,,-,1,,,,=,,,,HUD VL
1_Crystal Falls (OPG),152751_CRYST_FLS_GS_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
1_Cumberland (WI),680300_BVR DAM_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Curtis Palmer Hydroelectric,137998_CP+RCF_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Dahowa Hydro,137995_STDA+AMT_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Dale Hollow,364614_1DALE HOL H1_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Dale Hollow,364615_1DALE HOL H2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Dale Hollow,364616_1DALE HOL H3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Dam 2,338501_1L&D2 U1_6.9,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,EES-ARK
1_Dam 2,338502_1L&D2 U2_6.9,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,EES-ARK
1_Dam 2,338503_1L&D2 U3_6.9,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,EES-ARK
1_Danbury Dam,605506_DANBURY8_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Dardanelle,505510_DAR1&2 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
1_Dashville,125201_DASH-GEN_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,HUD VL
1_Dearborn,307859_1DEARBN1_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Decew Falls,157672_DECEW_#2_GS1_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,ONTE
1_Decew Falls,157673_DECEW_#2_GS2_13.8,Generation Participation Factor,0.5,,-,1,,,,=,,,,ONTE
1_Deep Brook,199247_5W-DEEP_BRK_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,NEW_BRUNSWICK
1_Deep Creek,200840_26DEEPCRK1_11.5,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-E
1_Deer Rips,100462_DEER RIPS_13.2,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
1_Dells,605527_DELLS  8_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Delta,137237_ROME_115,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Denison,505606_DEN #1 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
1_Denley Hydro,136998_DENLEY_1_23,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Derby Hydro,123147_DERBY DAM HY_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,CT
1_Des Joachims,153619_D_JOACH_GS-1_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,ONTE
1_Des Joachims,153620_D_JOACH_GS-2_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,ONTE
1_Des Joachims,153621_D_JOACH_GS-3_13.8,Generation Participation Factor,0.125,,-,1,,,,=,,,,ONTE
