Node,Voltage
300651_2LAMR_69,69
300652_2LAMRCTS_69,69
300653_2MEDOC_69,69
300654_2MILO_69,69
300655_2LAMRCTN_69,69
300656_2JACK ST_69,69
300657_2ASHGRV_69,69
300658_2BILLNG_69,69
300659_2BOWRML_69,69
300660_2BRNSPG_69,69
300662_2CAPEFR_69,69
300663_2CASSIDY_69,69
300664_2CAVESP_69,69
300665_2CLEVER_69,69
300666_2CLRKSN_69,69
300667_2CRANE_69,69
300668_2DADEVL_69,69
300669_2ELWOOD_69,69
300670_2EPURDY_69,69
300671_2FLTCRK_69,69
300672_2GRNFLD_69,69
300673_2JAMESV_69,69
300676_2LOCKWD_69,69
