Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,2_1_Morgantown_Generating_Plant,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Muskogee,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Nanticoke__OPG_,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,2_1_Nelson_Industrial_Steam,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_New_Madrid,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_1_Northeastern,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Quindaro,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_1_Roxboro,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Seminole__FL_,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Shawnee,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_1_Sooner,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_St_Johns_River_Power_Park,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Stanton_Energy_Center,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_TalenEnergy_Montour,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_1_Thomas_Hill,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_1_Thunder_Bay__OPG_,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,2_1_Tolk,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_W_H_Zimmer,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_1_Welsh,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_White_Bluff,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Winyah,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_2_Cumberland__TN_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_2_Dunkirk_Generating_Plant,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_2_Silver_Bay_Power,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_3_Silver_Bay_Power,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_A_B_Brown,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_A_Dan_E_Karn,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_AES_Petersburg,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Antelope_Valley,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_B_Dan_E_Karn,Coal_ENC,Boiler (Coal),-
